RAP	MSU	Name	Description	Type	SYMBOL	ENTREZ	RAP.description	RAP.name	RAP.synonym	CGSNL.symbol	CGSNL.name	Oryzabase.name	Oryzabase.synonym	Oryzabase.protein	AM_gene_description	AM_gene_otherinfo	NCBI.Name	GO.term	GO.name	ATG
Os07g0262600	LOC_Os07g15930	OsRLCK226	Legume lectin, beta chain domain containing protein	protein_coding	LOC107278636	107278636	Legume lectin, beta chain domain containing protein.	NA	NA	RLCK226	RECEPTOR-LIKE CYTOPLASMIC KINASE 226	OsRLCK226	Receptor-like Cytoplasmic Kinase 226	RECEPTOR-LIKE CYTOPLASMIC KINASE 226	NA	NA	L-type lectin-domain containing receptor kinase IV.1	GO:0030246, GO:0002229, GO:0005886, GO:0042742, GO:0006952, GO:0004675, GO:0005488	carbohydrate binding, defense response to oomycetes, plasma membrane, defense response to bacterium, defense response, transmembrane receptor protein serine/threonine kinase activity, binding	AT2G37710
Os03g0258000	LOC_Os03g15250	NA	Similar to Resistance protein candidate (Fragment)	protein_coding	NA	NA	Similar to Resistance protein candidate (Fragment).	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GO:0030246, GO:0002229, GO:0005524, GO:0005886, GO:0016021, GO:0042742, GO:0006952, GO:0004675, GO:0016740, GO:0016020, GO:0000166, GO:0004672, GO:0006468, GO:0016301, GO:0016310, GO:0007178, GO:0004674, GO:0005488, GO:0016772	carbohydrate binding, defense response to oomycetes, ATP binding, plasma membrane, integral component of membrane, defense response to bacterium, defense response, transmembrane receptor protein serine/threonine kinase activity, transferase activity, membrane, nucleotide binding, protein kinase activity, protein phosphorylation, kinase activity, phosphorylation, transmembrane receptor protein serine/threonine kinase signaling pathway, protein serine/threonine kinase activity, binding, transferase activity, transferring phosphorus-containing groups	AT2G37710
Os05g0287800	LOC_Os05g21180	NA	Similar to Phosphatidic acid phosphatase-like protein	protein_coding	LOC4338297	4338297	Similar to Phosphatidic acid phosphatase-like protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	phosphatidylinositol:ceramide inositolphosphotransferase-like	GO:0016780, GO:0030176, GO:0030173, GO:0030148, GO:0005887, GO:0005802, GO:0046513, GO:0047493, GO:0033188, GO:0045140, GO:0016740, GO:0016020, GO:0016021, GO:0006665	phosphotransferase activity, for other substituted phosphate groups, integral component of endoplasmic reticulum membrane, integral component of Golgi membrane, sphingolipid biosynthetic process, integral component of plasma membrane, trans-Golgi network, ceramide biosynthetic process, ceramide cholinephosphotransferase activity, sphingomyelin synthase activity, inositol phosphoceramide synthase activity, transferase activity, membrane, integral component of membrane, sphingolipid metabolic process	AT2G37940
Os05g0452900	LOC_Os05g37910, LOC_Os05g37910	NA	Similar to phosphatidic acid phosphatase-related / PAP2-related, Similar to phosphatidic acid phosphatase-related / PAP2-related	protein_coding, protein_coding	LOC4338968, LOC4338968	4338968, 4338968	Similar to phosphatidic acid phosphatase-related / PAP2-related., Similar to Phosphatidic acid phosphatase-like protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	phosphatidylinositol:ceramide inositolphosphotransferase-like, phosphatidylinositol:ceramide inositolphosphotransferase-like	GO:0016780, GO:0030176, GO:0030173, GO:0030148, GO:0005887, GO:0005802, GO:0046513, GO:0047493, GO:0033188, GO:0045140, GO:0016740, GO:0016020, GO:0016021, GO:0006665, GO:0016780, GO:0030176, GO:0030173, GO:0030148, GO:0005887, GO:0005802, GO:0046513, GO:0047493, GO:0033188, GO:0045140, GO:0016740, GO:0016020, GO:0016021, GO:0006665	phosphotransferase activity, for other substituted phosphate groups, integral component of endoplasmic reticulum membrane, integral component of Golgi membrane, sphingolipid biosynthetic process, integral component of plasma membrane, trans-Golgi network, ceramide biosynthetic process, ceramide cholinephosphotransferase activity, sphingomyelin synthase activity, inositol phosphoceramide synthase activity, transferase activity, membrane, integral component of membrane, sphingolipid metabolic process, phosphotransferase activity, for other substituted phosphate groups, integral component of endoplasmic reticulum membrane, integral component of Golgi membrane, sphingolipid biosynthetic process, integral component of plasma membrane, trans-Golgi network, ceramide biosynthetic process, ceramide cholinephosphotransferase activity, sphingomyelin synthase activity, inositol phosphoceramide synthase activity, transferase activity, membrane, integral component of membrane, sphingolipid metabolic process	AT2G37940
Os01g0850100	LOC_Os01g63060	NA	Similar to Phosphatidic acid phosphatase-like protein	protein_coding	LOC4324799	4324799	Similar to Phosphatidic acid phosphatase-like protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	phosphatidylinositol:ceramide inositolphosphotransferase-like	GO:0016780, GO:0030176, GO:0030173, GO:0006952, GO:0030148, GO:0005887, GO:0005802, GO:0046513, GO:0047493, GO:0033188, GO:0045140, GO:0016740, GO:0005794, GO:0016020, GO:0016021, GO:0006629, GO:0006665	phosphotransferase activity, for other substituted phosphate groups, integral component of endoplasmic reticulum membrane, integral component of Golgi membrane, defense response, sphingolipid biosynthetic process, integral component of plasma membrane, trans-Golgi network, ceramide biosynthetic process, ceramide cholinephosphotransferase activity, sphingomyelin synthase activity, inositol phosphoceramide synthase activity, transferase activity, Golgi apparatus, membrane, integral component of membrane, lipid metabolic process, sphingolipid metabolic process	AT2G37940
Os04g0602300	LOC_Os04g51320	NA	Similar to B0403H10-OSIGBa0105A11.17 protein	protein_coding	LOC4336887	NA	Similar to B0403H10-OSIGBa0105A11.17 protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized LOC4336887	NA	NA	AT2G38250
Os05g0474800	LOC_Os05g39720	OsWRKY70	WRKY transcription factor 70	protein_coding	LOC4339092	4339092	WRKY transcription factor, Herbivore resistance, Defense regulation by the volatile indole	OsWRKY70	WRKY GENE 70	WRKY70	WRKY GENE 70	OsWRKY70	Rice WRKY gene70	TRANSCRIPTION FACTOR WRKY70	NA	NA	WRKY transcription factor WRKY24	GO:0043565, GO:0005634, GO:0003700, GO:0003677, GO:0006355, GO:0050896, GO:0002213, GO:0002237, GO:0006952, GO:0009414, GO:0009651, GO:0009867, GO:0042742, GO:0050832, GO:0080027	sequence-specific DNA binding, nucleus, DNA-binding transcription factor activity, DNA binding, regulation of DNA-templated transcription, response to stimulus, defense response to insect, response to molecule of bacterial origin, defense response, response to water deprivation, response to salt stress, jasmonic acid mediated signaling pathway, defense response to bacterium, defense response to fungus, response to herbivore	AT2G38470
Os01g0826400	LOC_Os01g61080	OsWRKY24	WRKY transcription factor 24 (WRKY24)	protein_coding	LOC4327518	4327518	WRKY transcription factor, Negative regulation of abscisic acid and gibberellin signaling in aleurone cells	OsWRKY24	WRKY gene 24	WRKY24	WRKY GENE 24	OsWRKY24	Rice WRKY gene24	TRANSCRIPTION FACTOR WRKY24	NA	NA	WRKY transcription factor WRKY24-like	GO:0043565, GO:0009739, GO:0009740, GO:0009738, GO:0009737, GO:0009938, GO:0005634, GO:0009788, GO:0003700, GO:0045893, GO:0003677, GO:0006355, GO:0050896, GO:0001666, GO:0002213, GO:0006952, GO:0009408, GO:0009409, GO:0009414, GO:0009611, GO:0009651, GO:0050832, GO:0080027	sequence-specific DNA binding, response to gibberellin, gibberellic acid mediated signaling pathway, abscisic acid-activated signaling pathway, response to abscisic acid, negative regulation of gibberellic acid mediated signaling pathway, nucleus, negative regulation of abscisic acid-activated signaling pathway, DNA-binding transcription factor activity, positive regulation of DNA-templated transcription, DNA binding, regulation of DNA-templated transcription, response to stimulus, response to hypoxia, defense response to insect, defense response, response to heat, response to cold, response to water deprivation, response to wounding, response to salt stress, defense response to fungus, response to herbivore	AT2G38470
Os11g0591550	LOC_Os11g37920	OsDJ-1F	ThiJ/PfpI domain containing protein	protein_coding	LOC4350819	4350819	ThiJ/PfpI domain containing protein.	NA	NA	NA	NA	OsDJ-1F, DJ-1F	DJ-1/PfpI domain containing protein F, DJ-1 protein F	NA	NA	NA	DJ-1 protein homolog E	GO:0002238, GO:0005829, GO:0006979, GO:0009408, GO:0009409, GO:0019172, GO:0019243, GO:0019249, GO:0046685, GO:0046688, GO:0051595	response to molecule of fungal origin, cytosol, response to oxidative stress, response to heat, response to cold, glyoxalase III activity, methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione, lactate biosynthetic process, response to arsenic-containing substance, response to copper ion, response to methylglyoxal	AT2G38860
Os03g0150800	LOC_Os03g05640	PT2	Pi transporter, Pi homeostasis, Selenite uptak	protein_coding	LOC4331637	4331637	Pi transporter, Pi homeostasis, Selenite uptake	PT2, OsPT2, PTH1-2, OsPht1;2	PHOSPHATE TRANSPORTER 2, High affinity phosphate transporter 2, Inorganic phosphate transporter 1-2	PT2	PHOSPHATE TRANSPORTER 2	OsPT2, PTH1-2, OsPht1;2, PHT1;2, OsPHT1;2	High affinity phosphate transporter 2, Inorganic phosphate transporter 1-2, Plant Phosphate Transporter 1;2	PHOSPHATE TRANSPORTER 2	NA	NA	inorganic phosphate transporter 1-2-like	GO:0022857, GO:0055085, GO:0006817, GO:0005315, GO:0016021, GO:0015293, GO:0016020, GO:0005783, GO:0005886, GO:0009610, GO:0009733, GO:0009735, GO:0009737, GO:0009739, GO:0009751, GO:0010167, GO:0016036, GO:0042594	transmembrane transporter activity, transmembrane transport, phosphate ion transport, inorganic phosphate transmembrane transporter activity, integral component of membrane, symporter activity, membrane, endoplasmic reticulum, plasma membrane, response to symbiotic fungus, response to auxin, response to cytokinin, response to abscisic acid, response to gibberellin, response to salicylic acid, response to nitrate, cellular response to phosphate starvation, response to starvation	AT2G38940
Os10g0444600	LOC_Os10g30770	OsPT3	Similar to Phosphate transporter (Fragment)	protein_coding	LOC4348740	4348740	Pi transporter, Mediation of Pi uptake, translocation, and remobilization	OsPHT1;3	Os Phosphate Transporter-1;3	PT3	PHOSPHATE TRANSPORTER 3	OsPT3, PHT1-3, OsPht1;3, OjPT1, PHT1;3	Probable inorganic phosphate transporter 1-3	PHOSPHATE TRANSPORTER 3	NA	NA	probable inorganic phosphate transporter 1-3	GO:0022857, GO:0055085, GO:0016021, GO:0016020, GO:0015293, GO:0005315, GO:0006817, GO:0005886, GO:0042594	transmembrane transporter activity, transmembrane transport, integral component of membrane, membrane, symporter activity, inorganic phosphate transmembrane transporter activity, phosphate ion transport, plasma membrane, response to starvation	AT2G38940
Os03g0150600	LOC_Os03g05620, LOC_Os03g05620	PT1, PT1	Pi transporter, Pi homeostasi, Pi transporter, Pi homeostasi	protein_coding, protein_coding	LOC4331635, LOC4331635	4331635, 4331635	Pi transporter, Pi homeostasis, Similar to Isoform 2 of Inorganic phosphate transporter 1-1.	NA	NA	PT1, PT1	PHOSPHATE TRANSPORTER 1, PHOSPHATE TRANSPORTER 1	OsPT1, PHT1-1, OsPht1;1, Pht1;1, OsPHT1;1, PHT1;1, OsPT1, PHT1-1, OsPht1;1, Pht1;1, OsPHT1;1, PHT1;1	Inorganic phosphate transporter 1-1, phosphate transporter 1, Plant Phosphate Transporter 1.1, Inorganic phosphate transporter 1-1, phosphate transporter 1, Plant Phosphate Transporter 1.1	PHOSPHATE TRANSPORTER 1, PHOSPHATE TRANSPORTER 1	NA	NA	inorganic phosphate transporter 1-1-like, inorganic phosphate transporter 1-1-like	GO:0022857, GO:0055085, GO:0006817, GO:0005315, GO:0016021, GO:0015293, GO:0016020, GO:0005886, GO:0042594, GO:0046685, GO:0046688, GO:0022857, GO:0055085, GO:0006817, GO:0005315, GO:0016021, GO:0015293, GO:0016020, GO:0005886, GO:0042594, GO:0046685, GO:0046688	transmembrane transporter activity, transmembrane transport, phosphate ion transport, inorganic phosphate transmembrane transporter activity, integral component of membrane, symporter activity, membrane, plasma membrane, response to starvation, response to arsenic-containing substance, response to copper ion, transmembrane transporter activity, transmembrane transport, phosphate ion transport, inorganic phosphate transmembrane transporter activity, integral component of membrane, symporter activity, membrane, plasma membrane, response to starvation, response to arsenic-containing substance, response to copper ion	AT2G38940
Os03g0129100	LOC_Os03g03700	OsMLO2	Seven transmembrane protein MLO2	protein_coding	LOC4331493	4331493	Seven transmembrane protein MLO2.	NA	NA	MLO_	POWDERY-MILDEW-RESISTANCE GENE O_	OsMLO2, OsMLO3, OsMlo2, MLO2, Mlo2, Mlo, MLO3	powdery-MiLdew-resistance gene O2, powdery-MiLdew-resistance gene O3, MLO homologue, Mildew resistance Locus O-3	POWDERY-MILDEW-RESISTANCE PROTEIN O_	MLO domain containing protein	Medtr3g115940, (ref.23) Medicago homolog	MLO protein homolog 1-like	GO:0005516, GO:0016021, GO:0006952, GO:0009607, GO:0016020, GO:0008219, GO:0009408, GO:0009409, GO:0009646, GO:0050832	calmodulin binding, integral component of membrane, defense response, response to biotic stimulus, membrane, cell death, response to heat, response to cold, response to absence of light, defense response to fungus	AT2G39200
Os06g0486300	LOC_Os06g29110	OsMLO6	Similar to MLO protein homolog 1	protein_coding	LOC4341067	4341067	Similar to MLO protein homolog 1.	NA	NA	MLO_	POWDERY-MILDEW-RESISTANCE GENE O_	OsMLO6, OsMLO1, OsMlo1, Mlo, OsMlo-1, Mlo1, MLO6	powdery-MiLdew-resistance gene O6, powdery-MiLdew-resistance gene O1, Mildew resistance Locus O-6	POWDERY-MILDEW-RESISTANCE PROTEIN O_	MLO domain containing protein	Medtr3g115940, (ref.23) Medicago homolog	MLO protein homolog 1	GO:0005516, GO:0016021, GO:0006952, GO:0009607, GO:0016020, GO:0008219	calmodulin binding, integral component of membrane, defense response, response to biotic stimulus, membrane, cell death	AT2G39200
Os12g0637700	LOC_Os12g44060	NA	Nodulin-like domain containing protein	protein_coding	NA	NA	Nodulin-like domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GO:0016021, GO:0016020	integral component of membrane, membrane	AT2G39210
Os12g0637800	LOC_Os12g44070	NA	Nodulin-like domain containing protein	protein_coding	LOC4352902	4352902	Nodulin-like domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized LOC4352902	GO:0016021, GO:0016020	integral component of membrane, membrane	AT2G39210
Os03g0682100	LOC_Os03g47810	OsMFS1	Similar to nitrate and chloride transporter	protein_coding	LOC107276699	107276699	Similar to nitrate and chloride transporter.	NA	NA	MFS1	MAJOR FACILITATOR SUPERFAMILY 1	OsMFS1	major facilitator superfamily 1	MAJOR FACILITATOR SUPERFAMILY 1	NA	NA	protein NUCLEAR FUSION DEFECTIVE 4	GO:0016021	integral component of membrane	AT2G39210
Os07g0187900	LOC_Os07g09010	NA	Similar to nitrate and chloride transporter	protein_coding	LOC4342602	4342602	Similar to nitrate and chloride transporter.	NA	NA	NA	NA	NA	NA	NA	NA	NA	protein NUCLEAR FUSION DEFECTIVE 4	GO:0016021, GO:0055085	integral component of membrane, transmembrane transport	AT2G39210
Os10g0169900	LOC_Os10g08850	NA	Similar to nitrate and chloride transporter	protein_coding	LOC107275647	107275647	Similar to nitrate and chloride transporter.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized LOC107275647	GO:0016021, GO:0016020	integral component of membrane, membrane	AT2G39210
Os08g0298500	LOC_Os08g20190	NA	Similar to nitrate and chloride transporter	protein_coding	NA	NA	Similar to nitrate and chloride transporter.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GO:0016021, GO:0016020	integral component of membrane, membrane	AT2G39210
Os12g0484600	LOC_Os12g29950, LOC_Os12g29950	NA	Nodule-specific protein-like, Nodule-specific protein-like	protein_coding, protein_coding	LOC4352225, LOC4352225	4352225, 4352225	Nodule-specific protein-like., Nodulin-like domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized membrane protein YMR155W, uncharacterized membrane protein YMR155W	GO:0016021, GO:0016020, GO:0016021, GO:0016020	integral component of membrane, membrane, integral component of membrane, membrane	AT2G39210
Os03g0800000	LOC_Os03g58580, LOC_Os03g58580	NA	Similar to Nitrate and chloride transporter, Similar to Nitrate and chloride transporter	protein_coding, protein_coding	LOC4334447, LOC4334447	4334447, 4334447	Similar to Nitrate and chloride transporter., Similar to nitrate and chloride transporter.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized LOC4334447, uncharacterized LOC4334447	GO:0016021, GO:0016020, GO:0016021, GO:0016020	integral component of membrane, membrane, integral component of membrane, membrane	AT2G39210
Os01g0973600	LOC_Os01g74250	NA	Protein of unknown function DUF506, plant family protein	protein_coding	LOC4326403	4326403	Protein of unknown function DUF506, plant family protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized LOC4326403	NA	NA	AT2G39650
Os05g0110900	LOC_Os05g02020	OsRLCK176	Receptor-like cytoplasmic kinase, Positive regulation of peptidoglycan and chitin triggered immunit	protein_coding	LOC4337593	4337593	Receptor-like cytoplasmic kinase, Positive regulation of peptidoglycan and chitin triggered immunity	OsRLCK176	receptor-like cytoplasmic kinase 176	RLCK176	RECEPTOR-LIKE CYTOPLASMIC KINASE 176	OsRLCK176	receptor-like cytoplasmic kinase 176	RECEPTOR-LIKE CYTOPLASMIC KINASE 176	RLCK176, protein kinase APK1A; Receptor‐like cytoplasmic kinase	PGN and chitin signaling (sup.ref.2)	receptor-like cytoplasmic kinase 176	GO:0005524, GO:0045087, GO:0004674, GO:0016740, GO:0000166, GO:0004672, GO:0006468, GO:0016301, GO:0016310, GO:0006952, GO:0002376, GO:0106310, GO:0002237, GO:0002238, GO:0009611, GO:0009741, GO:0009742, GO:0031347, GO:0042742, GO:0043067, GO:0050832, GO:0052033	NA	AT2G39660
Os01g0973500	LOC_Os01g74200	OsRLCK57	Similar to Protein kinase APK1A, chloroplast precursor (EC 2.7.1.-)	protein_coding	LOC4326402	4326402	Receptor-like cytoplasmic kinase, Positive regulation of chitin- and PGN induced immunity, Positive regulation of the development of tillers and panicle secondary branching	OsRLCK57	Receptor-Like Cytoplasmic Kinase 57	RLCK57	RECEPTOR-LIKE CYTOPLASMIC KINASE 57	OsRLCK57	Receptor-like Cytoplasmic Kinase 57	RECEPTOR-LIKE CYTOPLASMIC KINASE 57	NA	NA	receptor-like cytoplasmic kinase 176	GO:0005524, GO:0004674, GO:0016740, GO:0000166, GO:0004672, GO:0006468, GO:0016301, GO:0016310, GO:0002237, GO:0009414, GO:0009651, GO:0009741, GO:0009742, GO:0010200, GO:0010229, GO:0032494, GO:0042742, GO:0048316, GO:0050832	ATP binding, protein serine/threonine kinase activity, transferase activity, nucleotide binding, protein kinase activity, protein phosphorylation, kinase activity, phosphorylation, response to molecule of bacterial origin, response to water deprivation, response to salt stress, response to brassinosteroid, brassinosteroid mediated signaling pathway, response to chitin, inflorescence development, response to peptidoglycan, defense response to bacterium, seed development, defense response to fungus	AT2G39660
Os03g0274800	LOC_Os03g16740	OsRLCK107	Similar to Protein kinase APK1A, chloroplast precursor (EC 2.7.1.-)	protein_coding	LOC4332405	4332405	Receptor-like cytoplasmic kinase, Positive regulation of chitin- and PGN induced immunity, Positive regulation of seed set rate	OsRLCK107	Receptor-Like Cytoplasmic Kinase 107	RLCK107	RECEPTOR-LIKE CYTOPLASMIC KINASE 107	OsRLCK107	Receptor-like Cytoplasmic Kinase 107	RECEPTOR-LIKE CYTOPLASMIC KINASE 107	NA	NA	receptor-like cytoplasmic kinase 176	GO:0005524, GO:0004674, GO:0016740, GO:0000166, GO:0004672, GO:0006468, GO:0016301, GO:0016310, GO:0002237, GO:0009741, GO:0009742, GO:0010200, GO:0032494, GO:0042742, GO:0050832	ATP binding, protein serine/threonine kinase activity, transferase activity, nucleotide binding, protein kinase activity, protein phosphorylation, kinase activity, phosphorylation, response to molecule of bacterial origin, response to brassinosteroid, brassinosteroid mediated signaling pathway, response to chitin, response to peptidoglycan, defense response to bacterium, defense response to fungus	AT2G39660
Os03g0821900	LOC_Os03g60710, LOC_Os03g60710	OsRLCK118, OsRLCK118	Similar to Protein kinase APK1A, chloroplast precursor (EC 2.7.1.-), Similar to Protein kinase APK1A, chloroplast precursor (EC 2.7.1.-)	protein_coding, protein_coding	LOC4334605, LOC4334605	4334605, 4334605	Receptor-like cytoplasmic kinase, Positive regulation of chitin- and PGN induced immunity, Positive regulation of seed set rate, Similar to Protein kinase APK1B.	NA	NA	RLCK118, RLCK118	RECEPTOR-LIKE CYTOPLASMIC KINASE 118, RECEPTOR-LIKE CYTOPLASMIC KINASE 118	OsRLCK118, OsRLCK118	Receptor-like Cytoplasmic Kinase 118, Receptor-like Cytoplasmic Kinase 118	RECEPTOR-LIKE CYTOPLASMIC KINASE 118, RECEPTOR-LIKE CYTOPLASMIC KINASE 118	NA	NA	receptor-like cytoplasmic kinase 176, receptor-like cytoplasmic kinase 176	GO:0005524, GO:0004674, GO:0016740, GO:0000166, GO:0004672, GO:0006468, GO:0016301, GO:0016310, GO:0004713, GO:0016772, GO:0002237, GO:0009741, GO:0009742, GO:0010200, GO:0032494, GO:0042742, GO:0043067, GO:0050832, GO:0052033, GO:0005524, GO:0004674, GO:0016740, GO:0000166, GO:0004672, GO:0006468, GO:0016301, GO:0016310, GO:0004713, GO:0016772, GO:0002237, GO:0009741, GO:0009742, GO:0010200, GO:0032494, GO:0042742, GO:0043067, GO:0050832, GO:0052033	NA	AT2G39660
Os01g0854000	LOC_Os01g63480	NA	Similar to AER	protein_coding	LOC4324822	4324822	Similar to AER.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized acetyltransferase At3g50280	GO:0016747, GO:0050734	acyltransferase activity, transferring groups other than amino-acyl groups, hydroxycinnamoyltransferase activity	AT2G39980
Os05g0449200	LOC_Os05g37660	NA	Transferase family protein	protein_coding	LOC9266801	9266801	Transferase family protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized acetyltransferase At3g50280	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	AT2G39980
Os01g0855600	LOC_Os01g63690	HS1	Similar to Hs1pro-1 protein	protein_coding	LOC4324829	4324829	Similar to Hs1pro-1 protein.	NA	NA	NA	NA	HS1	putative nematode-resistance protein	NA	NA	NA	nematode resistance protein-like HSPRO1	GO:0019441, GO:0046872, GO:0006952, GO:0020037, GO:0006979, GO:0009751, GO:0009816	NA	AT2G40000
Os10g0535600	LOC_Os10g39090	NA	Similar to Hydrolase	protein_coding	LOC4349234	4349234	Similar to Hydrolase.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized LOC4349234	GO:0016021, GO:0016020	integral component of membrane, membrane	AT2G40095
Os03g0123800	LOC_Os03g03200	NA	Similar to Hydrolase	protein_coding	LOC4331451	4331451	Similar to Hydrolase.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized LOC4331451	GO:0016021, GO:0016020	integral component of membrane, membrane	AT2G40095
Os03g0185950	NA	NA	Conserved hypothetical protein	protein_coding	NA	NA	Conserved hypothetical protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT2G40095
Os03g0292100	LOC_Os03g18150	OsPP2C32	Hypothetical conserved gene	protein_coding	LOC4332509	4332509	Hypothetical conserved gene.	NA	NA	NA	NA	OsPP2C32, OsPP50	protein phosphatase 2C32, protein phosphatase 2C 32, protein phosphatase 50	PROTEIN PHOSPHATASE 2C32	NA	NA	probable protein phosphatase 2C 32	GO:0043169, GO:0004722, GO:0016021, GO:0046872, GO:0004724, GO:0016020, GO:0016787, GO:0006470, GO:0004721, GO:0017018, GO:0003824, GO:0008287, GO:0005634, GO:0009536, GO:0009611, GO:0009738, GO:0010440, GO:0050832	NA	AT2G40180
Os05g0353500	LOC_Os05g28520	NA	Similar to ATP binding protein	protein_coding	LOC4338509	4338509	Similar to ATP binding protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	probable inactive receptor-like protein kinase At3g56050	GO:0004672, GO:0005524, GO:0006468, GO:0004674, GO:0004713, GO:0016772	protein kinase activity, ATP binding, protein phosphorylation, protein serine/threonine kinase activity, protein tyrosine kinase activity, transferase activity, transferring phosphorus-containing groups	AT2G40270
Os03g0294800	LOC_Os03g18370, LOC_Os03g18370	NA	Similar to Ser-thr protein kinase (Fragment), Similar to Ser-thr protein kinase (Fragment)	protein_coding, protein_coding	LOC4332528, LOC4332528	4332528, 4332528	Similar to Ser-thr protein kinase (Fragment)., Similar to ATP binding protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	probable inactive receptor-like protein kinase At3g56050, probable inactive receptor-like protein kinase At3g56050	GO:0004672, GO:0005524, GO:0016021, GO:0016020, GO:0006468, GO:0016301, GO:0016310, GO:0004674, GO:0004713, GO:0016772, GO:0004672, GO:0005524, GO:0016021, GO:0016020, GO:0006468, GO:0016301, GO:0016310, GO:0004674, GO:0004713, GO:0016772	protein kinase activity, ATP binding, integral component of membrane, membrane, protein phosphorylation, kinase activity, phosphorylation, protein serine/threonine kinase activity, protein tyrosine kinase activity, transferase activity, transferring phosphorus-containing groups, protein kinase activity, ATP binding, integral component of membrane, membrane, protein phosphorylation, kinase activity, phosphorylation, protein serine/threonine kinase activity, protein tyrosine kinase activity, transferase activity, transferring phosphorus-containing groups	AT2G40270
Os07g0693000	LOC_Os07g49240	OsRLCK242	Similar to Ser-thr protein kinase (Fragment)	protein_coding	LOC4344381	4344381	Similar to Ser-thr protein kinase (Fragment).	NA	NA	RLCK242	RECEPTOR-LIKE CYTOPLASMIC KINASE 242	OsRLCK242	Receptor-like Cytoplasmic Kinase 242	RECEPTOR-LIKE CYTOPLASMIC KINASE 242	NA	NA	protein MALE DISCOVERER 2	GO:0004672, GO:0005524, GO:0016021, GO:0006468, GO:0016772, GO:0009414, GO:0009651, GO:0010229, GO:0048316	protein kinase activity, ATP binding, integral component of membrane, protein phosphorylation, transferase activity, transferring phosphorus-containing groups, response to water deprivation, response to salt stress, inflorescence development, seed development	AT2G40270
Os12g0105800	LOC_Os12g01510	NA	Tyrosine protein kinase domain containing protein	protein_coding	LOC4351262	4351262	Tyrosine protein kinase domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	protein MALE DISCOVERER 2	GO:0004672, GO:0016021, GO:0016020, GO:0006468, GO:0016301, GO:0016310, GO:0016772	protein kinase activity, integral component of membrane, membrane, protein phosphorylation, kinase activity, phosphorylation, transferase activity, transferring phosphorus-containing groups	AT2G40270
Os01g0278000	LOC_Os01g17050	OsVQ1	VQ domain containing protein	protein_coding	LOC112938650	112938650	Valine-glutamine (VQ) protein family, Disease resistance, Control of flowering time	OsVQ1	NA	NA	NA	OsVQ1	VQ motif-containing protein 1, valine-glutamine protein 1	VQ MOTIF-CONTAINING PROTEIN 1	NA	NA	calmodulin-binding protein 25-like	GO:0005516, GO:0009651, GO:0005634, GO:0009414, GO:0006970, GO:0009409	calmodulin binding, response to salt stress, nucleus, response to water deprivation, response to osmotic stress, response to cold	AT2G41010
Os12g0127800	LOC_Os12g03420	OsVQ39	Similar to VQ motif family protein	protein_coding	LOC4351394	4351394	Similar to VQ motif family protein.	NA	NA	VQ39	VQ MOTIF-CONTAINING PROTEIN 39	OsVQ39	VQ motif-containing protein 39, valine-glutamine protein 39	VQ MOTIF-CONTAINING PROTEIN 39	NA	NA	calmodulin-binding protein 25	GO:0005516, GO:0005634, GO:0006970	calmodulin binding, nucleus, response to osmotic stress	AT2G41010
Os11g0131100	LOC_Os11g03660	OsVQ37	VQ domain containing protein	protein_coding	LOC4349677	4349677	VQ domain containing protein.	NA	NA	VQ37	VQ MOTIF-CONTAINING PROTEIN 37	OsVQ37	VQ motif-containing protein 37, valine-glutamine protein 37	VQ MOTIF-CONTAINING PROTEIN 37	NA	NA	calmodulin-binding protein 25	GO:0005516, GO:0005634, GO:0006970	calmodulin binding, nucleus, response to osmotic stress	AT2G41010
Os01g0307686	LOC_Os01g20206	NA	Similar to embryonic abundant protein-like	protein_coding	LOC107278642	107278642	Similar to embryonic abundant protein-like.	NA	NA	NA	NA	NA	NA	NA	NA	NA	putative methyltransferase DDB_G0268948	NA	NA	AT2G41380
